Commune,CCAS identifié,Adresse CCAS,Mail CCAS,Telephone CCAS,UTS ,Adresse UTS,Téléphone UTS,CLIC,SAAD,,
Saint Cyr sur Mer,Centre Communal d'Action Sociale Saint Cyr sur Mer (CCAS),"Centre Communal d'Actions Sociales-CCAS 5, Avenue Aristide Briand 83270 Saint Cyr Sur Mer",ccas.saintcyr@wanadoo.fr,04 94 32 01 79  ,UTS Littoral Sud Sainte Baume - BANDOL / SAINT CYR,Le Pergolèse Bât 2 1155 avenue Del Reganeaou 83150 Bandol,04 83 95 52 70,pas de CLIC,3    SAAD dans la commune,,
Saint Mandrier sur Mer,Centre Communal d'Action Sociale Saint Mandrier (CCAS),Place des Résistants 83430 Saint Mandrier Sur Mer,formulaire de contact sur le site de la mairie,04 94 11 24 56,UTS La Seyne / Saint - Mandrier - CENTRE HERMES,rue Charles Gide 83500 La Seyne sur mer,04 83 95 48 30 ou 04 83 95 37 90,pas de CLIC,SAAD Novena Services : RES les jardins de pin rolland 83430 St mandrier sur mer / 0494876766,,
Signes,Centre Communal d'Action Sociale Signes (CCAS),5 rue Saint-Jean 83870 Signes ,ccas@signes.fr,06 71 66 28 93 ,UTS Littoral Sud Sainte Baume - LE BEAUSSET,Le Saint Anne 21 A avenue Saint Louis  83330 Le Beausset,04 83 95 57 30,pas de CLIC,SAAD de l'an que ven : 1 PL du marché 83870 Signes / 0640485890,,
Six Fours les Plages,Centre Communal d'Action Sociale Six Fours (CCAS),Centre Communal d’Action Sociale 32 Avenue Joseph Raynaud 83140 Six-Fours les Plages,formulaire de contact sur le site de la mairie,04 94 34 94 50,UTS Littoral Sud Sainte Baume - SIX FOUR,Centre Geoffroy Jouglas 40 avenue Joseph Raynaud 83140 Six Fours Les Plages,04 83 95 41 00,pas de CLIC,9    SAAD dans la commune,,
Toulon,Centre Communal d'Action Sociale Toulon (CCAS),100 rue des remparts - CS 20813 83051 Toulon Cedex, accueil@ccas-toulon.fr,04 94 24 65 00 ,UTS Toulon ,"100, traverse des minimes  83000 Toulon",04 83 95 24 42,CLIC de Toulon,32    SAAD dans la commune,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,communes en italique: CLIC provence verte (28 - niveau 1 et 2),,,
,,,,,,,,CLIC du Coudon (niveau 1),,,
,,,,,,,,"CLIC HADAGE (nievau 1,2 et 3)",,,
,,,,,,,,CLIC la vallée du Gapeau (niveau 1),,,
,,,,,,,,"CLIC de Toulon (niveau 1,2 et 3)",,,
,,,,,,,,CLIC du Cap Sicié (niveau 1 et 2),,,
